Record,Duration (s),Sampling Rate,Total Beats,Beat Types,Signal Min (mV),Signal Max (mV),Signal Std
100,1805.6,360,2274,"+, A, N, V",-2.715,1.435,0.1932
101,1805.6,360,1874,"+, A, N, Q, |, ~",-3.175,2.42,0.2612
102,1805.6,360,2192,"+, /, N, V, f",-1.66,1.375,0.1905
103,1805.6,360,2091,"+, A, N, ~",-2.61,3.125,0.3218
104,1805.6,360,2311,"+, /, N, Q, V, f, ~",-1.935,1.975,0.2504
105,1805.6,360,2691,"+, N, Q, V, |, ~",-3.715,3.0,0.4051
106,1805.6,360,2098,"+, N, V, ~",-2.065,2.57,0.3681
107,1805.6,360,2140,"+, /, V, ~",-3.315,3.465,0.858
108,1805.6,360,1824,"+, A, F, N, V, j, x, |, ~",-3.035,2.365,0.3008
109,1805.6,360,2535,"+, F, L, V, ~",-3.195,3.13,0.4992
